name,gender,probability
Sylvain,male,1.0
Mediapart,None,0.0
Maier,male,0.88
Cédric,male,1.0
Johanna,female,0.99
Jean-Louis,male,0.99
Xavier,male,1.0
Xavier,male,1.0
René,male,0.99
Thierry,male,0.99
Thierry,male,0.99
Thierry,male,0.99
Goocha,male,0.83
Meretz,None,0.0
Eli,male,0.78
Thomas,male,1.0
Paul,male,1.0
Paul,male,1.0
Paul,male,1.0
Gérard,male,1.0
Pierre-Jean,male,0.99
Pierre-Jean,male,0.99
Nathalie,female,0.99
Eli,male,0.78
Ayman,male,0.97
Ayman,male,0.97
Al,male,0.98
Jean-Jacques,male,1.0
Jean-Jacques,male,1.0
Henri,male,0.98
François,male,1.0
Olivier,male,1.0
Benoît,male,1.0
Benoît,male,1.0
Olivier,male,1.0
Benoît,male,1.0
Olivier,male,1.0
Camembert,female,0.75
Chavez,male,0.82
Trautmann,male,0.75
David,male,1.0
Michel,male,0.97
David,male,1.0
Trautmann,male,0.75
David,male,1.0
Pierre,male,1.0
Thierry,male,0.99
Steven,male,1.0
Marchiani,male,1.0
Nicolas,male,1.0
Van,male,0.67
Rachida,female,0.97
Balzac,male,0.95
Nicolas,male,1.0
Steeve,male,0.99
Obama,male,0.95
Angela,female,1.0
Paulson,male,0.94
Philippe,male,1.0
Jean-Jacques,male,1.0
Éric,male,1.0
Éric,male,1.0
Wen,female,0.53
Kenneth,male,1.0
Zhang,male,0.63
Kenneth,male,1.0
Kenneth,male,1.0
Terrel,male,0.93
Julien,male,0.99
Bernard,male,0.99
Eric,male,1.0
Jean-Paul,male,1.0
Jean-Paul,male,1.0
Marie,female,0.99
Marie,female,0.99
Bernard,male,0.99
Jean-Pierre,male,1.0
Jean-Pierre,male,1.0
Jean,female,0.72
Patrick,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Bernard,male,0.99
Bernard,male,0.99
Stéphane,male,0.93
Philippe,male,1.0
Philippe,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Vieilles,None,0.0
Jean,female,0.72
Jean,female,0.72
Jean-Louis,male,0.99
Irène,female,0.99
Irène,female,0.99
Irène,female,0.99
Michel,male,0.97
Jabbour,male,0.87
Ahmad,male,1.0
Bill,male,1.0
Ahmad,male,1.0
Claude,male,0.97
Gérard,male,1.0
Vincent,male,1.0
Gilles,male,1.0
Jean-Pierre,male,1.0
Claude,male,0.97
Napoléon,male,1.0
Zora,female,0.98
Ibrahim,male,0.99
Didier,male,0.99
Ibrahim,male,0.99
Ibrahim,male,0.99
Ibrahim,male,0.99
Claude,male,0.97
Florence,female,0.99
Michel,male,0.97
Michel,male,0.97
Barack,male,0.98
John,male,1.0
Hoenig,male,1.0
Kambale,male,0.97
Vérène,female,1.0
Désiré,female,0.91
Kambale,male,0.97
Nicolas,male,1.0
Philippe,male,1.0
Christine,female,1.0
Jérôme,male,1.0
Jérôme,male,1.0
Jérôme,male,1.0
Nicolas,male,1.0
Nadine,female,0.99
Nadine,female,0.99
Christine,female,1.0
Dominique,male,0.56
Christine,female,1.0
Christine,female,1.0
Christine,female,1.0
Christian,male,1.0
Christian,male,1.0
Christine,female,1.0
Christine,female,1.0
Christine,female,1.0
Christine,female,1.0
Christian,male,1.0
Christine,female,1.0
Williamson,male,1.0
Christine,female,1.0
Christine,female,1.0
Christine,female,1.0
Christine,female,1.0
Mgr,male,0.68
Roselyne,female,0.99
Sophie,female,0.99
Bertrand,male,0.99
Bertrand,male,0.99
Jean-Jacques,male,1.0
Jean-Luc,male,1.0
Jean-Luc,male,1.0
François,male,1.0
René,male,0.99
John,male,1.0
Paul,male,1.0
Paul,male,1.0
Paul,male,1.0
Edwige,female,0.98
Edwige,female,0.98
Edwige,female,0.98
Xavier,male,1.0
Antonio,male,1.0
Xavier,male,1.0
Jean-Louis,male,0.99
Frédéric,male,1.0
Jean-Claude,male,1.0
Sarkozy,male,0.95
François,male,1.0
Claire,female,1.0
François,male,1.0
Jean-Claude,male,1.0
Alexis,male,0.82
Ray,male,0.99
Eric,male,1.0
Eloïse,female,1.0
Philippe,male,1.0
Henri,male,0.98
Henri,male,0.98
Gandhi,male,0.91
Daniel,male,1.0
Dany,male,0.73
Dany,male,0.73
Cécile,female,1.0
Esther,female,1.0
Pierre,male,1.0
Silvio,male,1.0
Guido,male,1.0
Guido,male,1.0
Alliot,male,0.67
Jean-Guy,male,0.99
Paul,male,1.0
Gilles,male,1.0
Maurice,male,1.0
Céline,female,1.0
surstaffé,None,0.0
Eric,male,1.0
Rachid,male,0.99
Rachid,male,0.99
Rachid,male,0.99
Éric,male,1.0
Teodor,male,0.99
Matatias,male,1.0
Carp,male,0.62
Matatias,male,1.0
Nicolas,male,1.0
François,male,1.0
Dorsaf,female,0.98
Rachel,female,1.0
Olivier,male,1.0
Arnaud,male,0.99
Pierre-Olivier,male,0.99
Roux,male,0.58
Pol,male,0.97
Duch,male,0.84
Martin,male,1.0
Alberto,male,1.0
André,male,1.0
Jean,female,0.72
François,male,1.0
Alberto,male,1.0
Alberto,male,1.0
François,male,1.0
André,male,1.0
André,male,1.0
Alberto,male,1.0
François,male,1.0
François,male,1.0
Dirk,male,1.0
Jeremy,male,1.0
Louise,female,1.0
Michel,male,0.97
Paul,male,1.0
Millogo,male,0.65
Claire,female,1.0
Abdul,male,1.0
Abdul,male,1.0
Ségolène,female,1.0
Georges,male,0.99
Emine,female,0.98
Jaurès,None,0.0
Poul,male,1.0
Jean-François,male,0.98
Nicolas,male,1.0
Jean-François,male,0.98
David,male,1.0
Jeannine,female,1.0
David,male,1.0
David,male,1.0
Bernard,male,0.99
Besancenot,male,1.0
Hervé,male,1.0
Abdoulatifou,male,1.0
Benoît,male,1.0
Benoît,male,1.0
Benoît,male,1.0
Benoît,male,1.0
Netanyahou,None,0.0
Nabil,male,0.98
Federica,female,1.0
Claude,male,0.97
Jean-Paul,male,1.0
Michel,male,0.97
Chirac,male,0.83
Charles,male,1.0
Patrick,male,1.0
Jacques,male,0.98
Nicolas,male,1.0
Bernard,male,0.99
Bruno,male,1.0
Lasserre,male,0.6
Nicole,female,1.0
Van,male,0.67
Renaud,male,0.99
Maxime,male,0.98
Michel,male,0.97
Michel,male,0.97
Michel,male,0.97
André,male,1.0
André,male,1.0
Nicole,female,1.0
Nicole,female,1.0
Obama,male,0.95
Menayas,None,0.0
Patrick,male,1.0
Ouart,male,1.0
Jomhouri,male,1.0
Gilles,male,1.0
Quentin,male,1.0
Gilles,male,1.0
Bernard,male,0.99
Thomas,male,1.0
Roger,male,1.0
Hugues,male,1.0
Isabelle,female,0.99
Gérard,male,1.0
Christian,male,1.0
Isabelle,female,0.99
Bastien,male,0.99
Bastien,male,0.99
Darcos,male,0.63
Jean-Christophe,male,1.0
Jean-Christophe,male,1.0
Jean-Christophe,male,1.0
François,male,1.0
David,male,1.0
Xavier,male,1.0
Xavier,male,1.0
David,male,1.0
David,male,1.0
Xavier,male,1.0
Frédéric,male,1.0
Sylvie,female,0.99
Sylvie,female,0.99
Jack,male,1.0
Michael,male,1.0
Michael,male,1.0
Valérie,female,0.98
Pascal,male,0.99
Marie-Louise,female,1.0
Gérard,male,1.0
Gérard,male,1.0
Jean-François,male,0.98
Fadela,female,0.99
